plot,logger,serial,start,end,pu1_P_RT_NRT,pu2_1,pu2_2,wxt_SWDR_300,wxt_SWUR_300,wxt_LWDR_300,wxt_LWUR_300,SERIAL_PYR01,SERIAL_PYR02,SERIAL_PAR01,SERIAL_PAR02,pu2_1_type,pu2_2_type
hom2,rug,51021020192,2012-08-20,2013-11-13,,,,,,,,,,,,,
hom2,rug,51111220743,2013-11-14,*,,,,,,,,,,,,,
hom3,rug,51021020165,*,*,,,,,,,,,,,,,
hom3,rug,51021038,2012-09-12,2012-09-26,,,,,,,,,,,,,
hom4,pu1,80081025290,*,*,0.197,,,,,,,,,,,,
hom4,pu1,80081055,2012-08-27,2012-10-01,0.2,,,,,,,,,,,,
hom4,pu1,80081025280,2012-10-24,2014-05-18,0.2,,,,,,,,,,,,
hom4,pu1,80081025282,2012-10-24,2014-04-14,0.2,,,,,,,,,,,,
hom4,pu2,80081025297,2014-09-24,*,,0.201,0.2,,,,,,,,,fog,rain
hom4,rad,80091025300,2011-12-31,*,,,,,,,,,,10,11,,
hom4,rad,80091025305,2011-12-31,*,,,,,,,,,,8,9,,
hom4,rad,80091025306,2011-12-31,2012-10-01,,,,,,,,14,,,,,
hom4,rad,80091025308,2012-03-11,*,,,,,,,,,,8,9,,
hom4,rug,51021020149,*,*,,,,,,,,,,,,,
hom4,tfi,2,2012-01-01,*,0.1273239545,0.0565884242,0.001,,,,,,,,,,
hom5,rug,51021020200,*,*,,,,,,,,,,,,,
hom5,rug,51021020230,2011-02-23,2011-03-07,,,,,,,,,,,,,
mai0,pu1,80081025281,*,*,0.201,,,,,,,,,,,,
mai0,wxt,80041130072,*,2015-03-25,,,,16,17.59,9.14,9.73,LWDR,LWUR,SWDR,SWUR,,
mai0,wxt,80091030032,2011-04-15,2011-09-16,,,,,,,,SWDR,SWUR,LWDR,LWUR,,
mai0,wxt,80031130064,2015-03-25,*,,,,18.9,15.02,10.53,8.64,LWDR,LWUR,SWUR,SWDR,,
mai1,rug,51021020184,*,2011-05-01,,,,,,,,,,,,,
mai2,rug,51021020201,*,2015-11-26,,,,,,,,,,,,,
mai2,rug,80021521154,2016-03-04,*,,,,,,,,,,,,,
