plot,general,lat,lon,is_station,logger
PORT ELIZABETH AWS,SAWS,-33.9825,25.6136,Y,SAWS_logger
PORT ELIZABETH WO,SAWS,-33.9844,25.6108,Y,SAWS_logger
PORT ELIZABETH-BLOEMENDAL ARS,SAWS,-33.8667,25.454,Y,SAWS_logger
PORT ELIZABETH-CHETTY FIRE STN ARS,SAWS,-33.857,25.5274,Y,SAWS_logger
PORTERVILLE,SAWS,-33.0128,18.9772,Y,SAWS_logger
POSTMASBURG,SAWS,-28.3454,23.079,Y,SAWS_logger
POTCHEFSTROOM,SAWS,-26.7359,27.0755,Y,SAWS_logger
POTCHEFSTROOM - KROMDRAAI ARS,SAWS,-26.8711,26.9266,Y,SAWS_logger
PRETORIA - MOUNTAIN VIEW ARS,SAWS,-25.6994,28.1567,Y,SAWS_logger
PRETORIA - PRESIDENCY ARS,SAWS,-25.7394,28.2325,Y,SAWS_logger
PRETORIA - PURIFICATION,SAWS,-25.735,28.176,Y,SAWS_logger
PRETORIA - RIETONDALE AGR ARS,SAWS,-25.7292,28.2361,Y,SAWS_logger
PRETORIA EENDRACHT,SAWS,-25.7422,28.1833,Y,SAWS_logger
PRETORIA MUSLIM SCHOOL ARS,SAWS,-25.7953,28.0939,Y,SAWS_logger
PRETORIA UNISA,SAWS,-25.77,28.2,Y,SAWS_logger
PRETORIA UNIVERSITY PROEFPLAAS,SAWS,-25.752,28.258,Y,SAWS_logger
PUNDA MARIA,SAWS,-22.68,31.02,Y,SAWS_logger
Pandamatenga,SASSCAL_botswana,-18.540139,25.634861,Y,SASSCAL_logger
Paulshoek,SASSCAL_south_africa,-30.395,18.28118,Y,SASSCAL_logger
RANDFONTEIN ARS,SAWS,-26.1411,27.6819,Y,SAWS_logger
REDELINGSHUYS-AWS,SAWS,-32.4814,18.5369,Y,SAWS_logger
RICHARDS BAY AIRPORT,SAWS,-28.73,32.08,Y,SAWS_logger
RICHMOND ARS,SAWS,-29.8972,30.3069,Y,SAWS_logger
RIVERVIEW,SAWS,-28.4439,32.182,Y,SAWS_logger
ROBBENEILAND,SAWS,-33.7989,18.3744,Y,SAWS_logger
ROBERTSON,SAWS,,,Y,SAWS_logger
ROBERTSON - HEARTSTONE VINYARD ARS,SAWS,,,Y,SAWS_logger
ROODEWAL BOS ARS,SAWS,-23,30.02,Y,SAWS_logger
ROOIBULT ARS,SAWS,-27.019,27.969,Y,SAWS_logger
