plotID,datetime,Ta_200
stationA,2010-01-22T14,-6.20000
stationA,2010-01-22T15,-6.11000
stationA,2010-01-22T16,-6.12000
stationA,2010-01-22T17,-6.00000
stationA,2010-01-22T18,-5.96000
stationA,2010-01-22T19,-5.85000
stationA,2010-01-22T20,-5.93000
stationA,2010-01-22T21,-5.85000
stationA,2010-01-22T22,-5.75000
stationA,2010-01-22T23,-5.89000
stationA,2010-01-23T00,-5.91000
stationA,2010-01-23T01,-5.83000
stationA,2010-01-23T02,-5.94000
stationA,2010-01-23T03,-6.01000
stationA,2010-01-23T04,-6.13000
stationA,2010-01-23T05,-6.24000
stationA,2010-01-23T06,-6.24000
stationA,2010-01-23T07,-6.31000
stationA,2010-01-23T08,-6.50000
stationA,2010-01-23T09,-6.31000
stationA,2010-01-23T10,-6.27000
stationA,2010-01-23T11,-6.30000
stationA,2010-01-23T12,-6.39000
stationA,2010-01-23T13,-6.04000
stationA,2010-01-23T14,-5.67000
stationA,2010-01-23T15,-5.61000
stationA,2010-01-23T16,-5.65000
stationA,2010-01-23T17,-5.80000
stationA,2010-01-23T18,-5.64000
stationA,2010-01-23T19,-5.28000
stationA,2010-01-23T20,-5.01000
stationA,2010-01-23T21,-5.31000
stationA,2010-01-23T22,-5.43000
stationA,2010-01-23T23,-5.55000
stationA,2010-01-24T00,-5.68000
stationA,2010-01-24T01,-5.74000
stationA,2010-01-24T02,-5.94000
stationA,2010-01-24T03,-6.02000
stationA,2010-01-24T04,-6.03000
stationA,2010-01-24T05,-6.16000
stationA,2010-01-24T06,-6.27000
stationA,2010-01-24T07,-6.23000
stationA,2010-01-24T08,-6.09000
stationA,2010-01-24T09,-5.90000
stationA,2010-01-24T10,-5.43000
stationA,2010-01-24T11,-4.86000
stationA,2010-01-24T12,-4.72000
stationA,2010-01-24T13,-4.46000
stationA,2010-01-24T14,-4.24000
stationA,2010-01-24T15,-4.47000
stationA,2010-01-24T16,-4.57000
stationA,2010-01-24T17,-4.55000
stationA,2010-01-24T18,-4.49000
stationA,2010-01-24T19,-4.62000
stationA,2010-01-24T20,-4.73000
stationA,2010-01-24T21,-4.72000
stationA,2010-01-24T22,-4.62000
stationA,2010-01-24T23,-4.53000
stationA,2010-01-25T00,-4.38000
stationA,2010-01-25T01,-4.61000
stationA,2010-01-25T02,-4.78000
stationA,2010-01-25T03,-4.90000
stationA,2010-01-25T04,-5.01000
stationA,2010-01-25T05,-5.05000
stationA,2010-01-25T06,-5.20000
stationA,2010-01-25T07,-5.42000
stationA,2010-01-25T08,-5.52000
stationA,2010-01-25T09,-5.64000
stationA,2010-01-25T10,-5.76000
stationA,2010-01-25T11,-5.88000
stationA,2010-01-25T12,-5.77000
stationA,2010-01-25T13,-5.67000
stationA,2010-01-25T14,-5.28000
stationA,2010-01-25T15,-4.94000
stationA,2010-01-25T16,-5.79000
stationA,2010-01-25T17,-6.06000
stationA,2010-01-25T18,-6.09000
stationA,2010-01-25T19,-6.25000
stationA,2010-01-25T20,-6.89000
stationA,2010-01-25T21,-7.24000
stationA,2010-01-25T22,-7.56000
stationA,2010-01-25T23,-7.74000
stationA,2010-01-26T00,-7.88000
stationA,2010-01-26T01,-7.79000
stationA,2010-01-26T02,-8.19000
stationA,2010-01-26T03,-8.52000
stationA,2010-01-26T04,-8.69000
stationA,2010-01-26T05,-8.61000
stationA,2010-01-26T06,-8.61000
stationA,2010-01-26T07,-8.86000
stationA,2010-01-26T08,-9.32000
stationA,2010-01-26T09,-9.92000
stationA,2010-01-26T10,-10.01000
stationA,2010-01-26T11,-10.14000
stationA,2010-01-26T12,-10.32000
stationA,2010-01-26T13,-9.90000
stationA,2010-01-26T14,-9.66000
stationA,2010-01-26T15,-9.44000
stationA,2010-01-26T16,-9.97000
stationA,2010-01-26T17,-10.32000
stationA,2010-01-26T18,-11.27000
stationA,2010-01-26T19,-12.16000
stationA,2010-01-26T20,-12.98000
stationA,2010-01-26T21,-13.41000
stationA,2010-01-26T22,-14.25000
stationA,2010-01-26T23,-14.09000
stationA,2010-01-27T00,-14.33000
stationA,2010-01-27T01,-15.96000
stationA,2010-01-27T02,-16.40000
stationA,2010-01-27T03,-16.33000
stationA,2010-01-27T04,-16.91000
stationA,2010-01-27T05,-17.22000
stationA,2010-01-27T06,-16.86000
stationA,2010-01-27T07,-16.43000
stationA,2010-01-27T08,-15.37000
stationA,2010-01-27T09,-14.89000
stationA,2010-01-27T10,-13.37000
stationA,2010-01-27T11,-11.83000
stationA,2010-01-27T12,-10.03000
stationA,2010-01-27T13,-8.08000
stationA,2010-01-27T14,-6.33000
stationA,2010-01-27T15,-5.28000
stationA,2010-01-27T16,-4.74000
stationA,2010-01-27T17,-4.54000
stationA,2010-01-27T18,-5.15000
stationA,2010-01-27T19,-5.24000
stationA,2010-01-27T20,-4.85000
stationA,2010-01-27T21,-4.47000
stationA,2010-01-27T22,-5.25000
stationA,2010-01-27T23,-4.79000
stationA,2010-01-28T00,-4.93000
stationA,2010-01-28T01,-4.61000
stationA,2010-01-28T02,-4.05000
stationA,2010-01-28T03,-3.57000
stationA,2010-01-28T04,-3.11000
stationA,2010-01-28T05,-2.69000
stationA,2010-01-28T06,-1.97000
stationA,2010-01-28T07,-1.79000
stationA,2010-01-28T08,-1.25000
stationA,2010-01-28T09,-0.95000
stationA,2010-01-28T10,-0.61000
stationA,2010-01-28T11,0.04000
stationA,2010-01-28T12,0.20000
stationA,2010-01-28T13,0.58000
stationA,2010-01-28T14,0.55000
stationA,2010-01-28T15,0.00000
stationA,2010-01-28T16,-0.03000
stationA,2010-01-28T17,0.00000
stationA,2010-01-28T18,0.03000
stationA,2010-01-28T19,-0.01000
stationA,2010-01-28T20,-0.16000
stationA,2010-01-28T21,-0.15000
stationA,2010-01-28T22,-0.23000
stationA,2010-01-28T23,-0.42000
stationA,2010-01-29T00,-0.97000
stationA,2010-01-29T01,-0.82000
stationA,2010-01-29T02,-0.94000
stationA,2010-01-29T03,-0.95000
stationA,2010-01-29T04,-0.90000
stationA,2010-01-29T05,-0.99000
stationA,2010-01-29T06,-0.55000
stationA,2010-01-29T07,-0.52000
stationA,2010-01-29T08,-0.59000
stationA,2010-01-29T09,-0.40000
stationA,2010-01-29T10,0.13000
stationA,2010-01-29T11,0.58000
stationA,2010-01-29T12,0.75000
stationA,2010-01-29T13,0.87000
stationA,2010-01-29T14,0.74000
stationA,2010-01-29T15,0.58000
stationA,2010-01-29T16,0.46000
stationA,2010-01-29T17,0.45000
stationA,2010-01-29T18,0.06000
stationA,2010-01-29T19,0.01000
stationA,2010-01-29T20,-0.14000
stationA,2010-01-29T21,-0.17000
stationA,2010-01-29T22,-0.28000
stationA,2010-01-29T23,-0.78000
stationA,2010-01-30T00,-1.17000
stationA,2010-01-30T01,-1.36000
stationA,2010-01-30T02,-1.72000
stationA,2010-01-30T03,-1.92000
stationA,2010-01-30T04,-2.19000
stationA,2010-01-30T05,-2.30000
stationA,2010-01-30T06,-2.53000
stationA,2010-01-30T07,-2.97000
stationA,2010-01-30T08,-3.27000
stationA,2010-01-30T09,-2.86000
stationA,2010-01-30T10,-2.97000
stationA,2010-01-30T11,-2.76000
stationA,2010-01-30T12,-2.13000
stationA,2010-01-30T13,-1.87000
stationA,2010-01-30T14,-1.90000
stationA,2010-01-30T15,-2.58000
stationA,2010-01-30T16,-2.99000
stationA,2010-01-30T17,-3.36000
stationA,2010-01-30T18,-3.98000
stationA,2010-01-30T19,-4.27000
stationA,2010-01-30T20,-4.45000
stationA,2010-01-30T21,-4.55000
stationA,2010-01-30T22,-4.70000
stationA,2010-01-30T23,-4.54000
stationA,2010-01-31T00,-4.74000
stationA,2010-01-31T01,-5.15000
stationA,2010-01-31T02,-5.48000
stationA,2010-01-31T03,-6.08000
stationA,2010-01-31T04,-7.46000
stationA,2010-01-31T05,-9.35000
stationA,2010-01-31T06,-8.23000
stationA,2010-01-31T07,-6.73000
stationA,2010-01-31T08,-4.70000
stationA,2010-01-31T09,-4.35000
stationA,2010-01-31T10,-3.88000
stationA,2010-01-31T11,-3.56000
stationA,2010-01-31T12,-3.12000
stationA,2010-01-31T13,-2.81000
stationA,2010-01-31T14,-2.46000
stationA,2010-01-31T15,-1.78000
stationA,2010-01-31T16,-1.54000
stationA,2010-01-31T17,-2.02000
